"primary_name","joining_name"
"1. FC Köln","1. FC Köln"
"1. FC Köln","Köln"
"1.FC Nuremberg","1.FC Nuremberg"
"1.FC Nuremberg","Nürnberg"
"1.FC Union Berlin","1.FC Union Berlin"
"1.FC Union Berlin","Union Berlin"
"1.FSV Mainz 05","1.FSV Mainz 05"
"1.FSV Mainz 05","Mainz 05"
"AC Milan","AC Milan"
"AC Milan","Milan"
"ACF Fiorentina","ACF Fiorentina"
"ACF Fiorentina","Fiorentina"
"AFC Bournemouth","AFC Bournemouth"
"AFC Bournemouth","Bournemouth"
"Amiens SC","Amiens SC"
"Amiens SC","Amiens"
"Arminia Bielefeld","Arminia Bielefeld"
"Arminia Bielefeld","Arminia"
"Arsenal FC","Arsenal FC"
"Arsenal FC","Arsenal"
"AS Monaco","AS Monaco"
"AS Monaco","Monaco"
"AS Roma","AS Roma"
"AS Roma","Roma"
"AS Saint-Étienne","AS Saint-Étienne"
"AS Saint-Étienne","Saint-Étienne"
"Aston Villa","Aston Villa"
"Atalanta BC","Atalanta BC"
"Atalanta BC","Atalanta"
"Athletic Bilbao","Athletic Bilbao"
"Athletic Bilbao","Athletic Club"
"Atlético de Madrid","Atlético de Madrid"
"Atlético de Madrid","Atlético Madrid"
"Bayer 04 Leverkusen","Bayer 04 Leverkusen"
"Bayer 04 Leverkusen","Leverkusen"
"Bayern Munich","Bayern Munich"
"Benevento Calcio","Benevento Calcio"
"Benevento Calcio","Benevento"
"Bologna FC 1909","Bologna FC 1909"
"Bologna FC 1909","Bologna"
"Borussia Dortmund","Borussia Dortmund"
"Borussia Dortmund","Dortmund"
"Borussia Mönchengladbach","Borussia Mönchengladbach"
"Borussia Mönchengladbach","M'Gladbach"
"Brentford FC","Brentford FC"
"Brentford FC","Brentford"
"Brescia Calcio","Brescia Calcio"
"Brescia Calcio","Brescia"
"Brighton & Hove Albion","Brighton & Hove Albion"
"Brighton & Hove Albion","Brighton"
"Burnley FC","Burnley FC"
"Burnley FC","Burnley"
"CA Osasuna","CA Osasuna"
"CA Osasuna","Osasuna"
"Cádiz CF","Cádiz CF"
"Cádiz CF","Cádiz"
"Cagliari Calcio","Cagliari Calcio"
"Cagliari Calcio","Cagliari"
"Cardiff City","Cardiff City"
"CD Leganés","CD Leganés"
"CD Leganés","Leganés"
"Celta de Vigo","Celta de Vigo"
"Celta de Vigo","Celta Vigo"
"Chelsea FC","Chelsea FC"
"Chelsea FC","Chelsea"
"Chievo Verona","Chievo Verona"
"Chievo Verona","Chievo"
"Clermont Foot 63","Clermont Foot 63"
"Clermont Foot 63","Clermont Foot"
"Crystal Palace","Crystal Palace"
"Deportivo Alavés","Deportivo Alavés"
"Deportivo Alavés","Alavés"
"Deportivo de La Coruña","Deportivo de La Coruña"
"Deportivo de La Coruña","La Coruña"
"Dijon FCO","Dijon FCO"
"Dijon FCO","Dijon"
"EA Guingamp","EA Guingamp"
"EA Guingamp","Guingamp"
"Eintracht Frankfurt","Eintracht Frankfurt"
"Eintracht Frankfurt","Eint Frankfurt"
"Elche CF","Elche CF"
"Elche CF","Elche"
"ESTAC Troyes","ESTAC Troyes"
"ESTAC Troyes","Troyes"
"Everton FC","Everton FC"
"Everton FC","Everton"
"FC Augsburg","FC Augsburg"
"FC Augsburg","Augsburg"
"FC Barcelona","FC Barcelona"
"FC Barcelona","Barcelona"
"FC Crotone","FC Crotone"
"FC Crotone","Crotone"
"FC Empoli","FC Empoli"
"FC Empoli","Empoli"
"FC Girondins Bordeaux","FC Girondins Bordeaux"
"FC Girondins Bordeaux","Bordeaux"
"FC Lorient","FC Lorient"
"FC Lorient","Lorient"
"FC Metz","FC Metz"
"FC Metz","Metz"
"FC Nantes","FC Nantes"
"FC Nantes","Nantes"
"FC Schalke 04","FC Schalke 04"
"FC Schalke 04","Schalke 04"
"FC Toulouse","FC Toulouse"
"FC Toulouse","Toulouse"
"Fortuna Düsseldorf","Fortuna Düsseldorf"
"Fortuna Düsseldorf","Düsseldorf"
"Frosinone Calcio","Frosinone Calcio"
"Frosinone Calcio","Frosinone"
"Fulham FC","Fulham FC"
"Fulham FC","Fulham"
"Genoa CFC","Genoa CFC"
"Genoa CFC","Genoa"
"Getafe CF","Getafe CF"
"Getafe CF","Getafe"
"Girona FC","Girona FC"
"Girona FC","Girona"
"Granada CF","Granada CF"
"Granada CF","Granada"
"Hamburger SV","Hamburger SV"
"Hannover 96","Hannover 96"
"Hellas Verona","Hellas Verona"
"Hertha BSC","Hertha BSC"
"Huddersfield Town","Huddersfield Town"
"Huddersfield Town","Huddersfield"
"Inter Milan","Inter Milan"
"Inter Milan","Inter"
"Juventus FC","Juventus FC"
"Juventus FC","Juventus"
"Leeds United","Leeds United"
"Leicester City","Leicester City"
"Levante UD","Levante UD"
"Levante UD","Levante"
"Liverpool FC","Liverpool FC"
"Liverpool FC","Liverpool"
"LOSC Lille","LOSC Lille"
"LOSC Lille","Lille"
"Málaga CF","Málaga CF"
"Málaga CF","Málaga"
"Manchester City","Manchester City"
"Manchester United","Manchester United"
"Manchester United","Manchester Utd"
"Montpellier HSC","Montpellier HSC"
"Montpellier HSC","Montpellier"
"Newcastle United","Newcastle United"
"Newcastle United","Newcastle Utd"
"Nîmes Olympique","Nîmes Olympique"
"Nîmes Olympique","Nîmes"
"Norwich City","Norwich City"
"OGC Nice","OGC Nice"
"OGC Nice","Nice"
"Olympique Lyon","Olympique Lyon"
"Olympique Lyon","Lyon"
"Olympique Marseille","Olympique Marseille"
"Olympique Marseille","Marseille"
"Paris Saint-Germain","Paris Saint-Germain"
"Paris Saint-Germain","Paris S-G"
"Parma Calcio 1913","Parma Calcio 1913"
"Parma Calcio 1913","Parma"
"Rayo Vallecano","Rayo Vallecano"
"RB Leipzig","RB Leipzig"
"RC Lens","RC Lens"
"RC Lens","Lens"
"RC Strasbourg Alsace","RC Strasbourg Alsace"
"RC Strasbourg Alsace","Strasbourg"
"RCD Espanyol Barcelona","RCD Espanyol Barcelona"
"RCD Espanyol Barcelona","Espanyol"
"RCD Mallorca","RCD Mallorca"
"RCD Mallorca","Mallorca"
"Real Betis Balompié","Real Betis Balompié"
"Real Betis Balompié","Betis"
"Real Madrid","Real Madrid"
"Real Sociedad","Real Sociedad"
"Real Valladolid CF","Real Valladolid CF"
"Real Valladolid CF","Valladolid"
"SC Freiburg","SC Freiburg"
"SC Freiburg","Freiburg"
"SC Paderborn 07","SC Paderborn 07"
"SC Paderborn 07","Paderborn 07"
"SCO Angers","SCO Angers"
"SCO Angers","Angers"
"SD Eibar","SD Eibar"
"SD Eibar","Eibar"
"SD Huesca","SD Huesca"
"SD Huesca","Huesca"
"Sevilla FC","Sevilla FC"
"Sevilla FC","Sevilla"
"Sheffield United","Sheffield United"
"Sheffield United","Sheffield Utd"
"SM Caen","SM Caen"
"SM Caen","Caen"
"Southampton FC","Southampton FC"
"Southampton FC","Southampton"
"SPAL","SPAL"
"Spezia Calcio","Spezia Calcio"
"Spezia Calcio","Spezia"
"SpVgg Greuther Fürth","SpVgg Greuther Fürth"
"SpVgg Greuther Fürth","Greuther Fürth"
"SS Lazio","SS Lazio"
"SS Lazio","Lazio"
"SSC Napoli","SSC Napoli"
"SSC Napoli","Napoli"
"Stade Brestois 29","Stade Brestois 29"
"Stade Brestois 29","Brest"
"Stade Reims","Stade Reims"
"Stade Reims","Reims"
"Stade Rennais FC","Stade Rennais FC"
"Stade Rennais FC","Rennes"
"Stoke City","Stoke City"
"SV Werder Bremen","SV Werder Bremen"
"SV Werder Bremen","Werder Bremen"
"Swansea City","Swansea City"
"Torino FC","Torino FC"
"Torino FC","Torino"
"Tottenham Hotspur","Tottenham Hotspur"
"Tottenham Hotspur","Tottenham"
"TSG 1899 Hoffenheim","TSG 1899 Hoffenheim"
"TSG 1899 Hoffenheim","Hoffenheim"
"UC Sampdoria","UC Sampdoria"
"UC Sampdoria","Sampdoria"
"UD Las Palmas","UD Las Palmas"
"UD Las Palmas","Las Palmas"
"Udinese Calcio","Udinese Calcio"
"Udinese Calcio","Udinese"
"US Lecce","US Lecce"
"US Lecce","Lecce"
"US Salernitana 1919","US Salernitana 1919"
"US Salernitana 1919","Salernitana"
"US Sassuolo","US Sassuolo"
"US Sassuolo","Sassuolo"
"Valencia CF","Valencia CF"
"Valencia CF","Valencia"
"Venezia FC","Venezia FC"
"Venezia FC","Venezia"
"VfB Stuttgart","VfB Stuttgart"
"VfB Stuttgart","Stuttgart"
"VfL Bochum","VfL Bochum"
"VfL Bochum","Bochum"
"VfL Wolfsburg","VfL Wolfsburg"
"VfL Wolfsburg","Wolfsburg"
"Villarreal CF","Villarreal CF"
"Villarreal CF","Villarreal"
"Watford FC","Watford FC"
"Watford FC","Watford"
"West Bromwich Albion","West Bromwich Albion"
"West Bromwich Albion","West Brom"
"West Ham United","West Ham United"
"West Ham United","West Ham"
"Wolverhampton Wanderers","Wolverhampton Wanderers"
"Wolverhampton Wanderers","Wolves"
